ISIN,StockID,Company,ShortName,BSE Code,NSE Code,Year High,Year Low,Close Price,Market Cap,LTP,Open,High,Low,Day Change,% Change,Volume
INE121J01017,GSTK534816,Indus Towers,Indus Towers,534816,INDUSTOWER
INE634S01028,GSTK543904,Mankind Pharma,Mankind Pharma,543904,MANKIND
INE121E01018,GSTK533148,JSW Energy,JSW Energy,533148,JSWENERGY
INE324D01010,GSTK544576,LG Electronics India,LG Electronics India,544576,LGEINDIA
INE020B01018,GSTK532955,REC Limited,RECL,532955,RECLTD
INE947Q01028,GSTK540222,Laurus Labs,Laurus Labs,540222,LAURUSLABS
INE956O01016,GSTK544600,Lenskart Solutions,Lenskart Solutions,544600,LENSKART
INE208A01029,GSTK500477,Ashok Leyland,Ashok Leyland,500477,ASHOKLEY
INE881D01027,GSTK532466,Oracle Financial Services Software,Oracle Finl. Service,532466,OFSS
INE249Z01020,GSTK543237,Mazagon Dock Shipbuilders,Mazagon Dock Ship,543237,MAZDOCK
INE089A01031,GSTK500124,Dr Reddy's Laboratories,Dr Reddy's Labs,500124,DRREDDY
INE388Y01029,GSTK543384,Nykaa - FSN E-Commerce Ventures Ltd.,Nykaa,543384,NYKAA
INE070A01015,GSTK500387,Shree Cement,Shree Cement,500387,SHREECEM
INE406A01037,GSTK524804,Aurobindo Pharma,Aurobindo Pharma,524804,AUROPHARMA
INE008A01015,GSTK500116,IDBI Bank,IDBI Bank,500116,IDBI
INE171A01029,GSTK500469,Federal Bank,The Federal Bank,500469,FEDERALBNK
INE262H01021,GSTK533179,Persistent Systems,Persistent Systems,533179,PERSISTENT
INE935N01020,GSTK540699,Dixon Technologies (India),Dixon Technologies,540699,DIXON
INE982J01020,GSTK543396,Paytm - One97 Communications Ltd,Paytm,543396,PAYTM
INE0VDM01015,GSTK544632,Meesho,Meesho,544632,MEESHO
INE094A01015,GSTK500104,Hindustan Petroleum Corporation,HPCL,500104,HINDPETRO
INE765G01017,GSTK540716,ICICI Lombard General Insurance Company,ICICI Lombard Gen.,540716,ICICIGI
INE343G01021,GSTK544162,Bharti Hexacom,Bharti Hexacom,544162,BHARTIHEXA
INE663F01032,GSTK532777,Info Edge (India),Info Edge (India),532777,NAUKRI
INE176B01034,GSTK517354,Havells India,Havells India,517354,HAVELLS
INE848E01016,GSTK533098,NHPC,NHPC,533098,NHPC
INE095A01012,GSTK532187,IndusInd Bank,IndusInd Bank,532187,INDUSINDBK
INE00H001014,GSTK544285,Swiggy,Swiggy,544285,SWIGGY
INE949L01017,GSTK540611,AU Small Finance Bank,AU Small Fin. Bank,540611,AUBANK
INE498L01015,GSTK533519,L&T Finance,L&T Finance,533519,LTF
INE647A01010,GSTK503806,SRF,SRF,503806,SRF
INE377N01017,GSTK544277,Waaree Energies,Waaree Energies,544277,WAAREEENER
INE591G01025,GSTK532541,Coforge,Coforge,532541,COFORGE
INE0ONG01011,GSTK544289,NTPC Green Energy,NTPC Green Energy,544289,NTPCGREEN
INE584A01023,GSTK526371,NMDC,NMDC,526371,NMDC
INE726G01019,GSTK540133,ICICI Prudential Life Insurance Company,ICICI Prudential,540133,ICICIPRULI
INE016A01026,GSTK500096,Dabur India,Dabur India,500096,DABUR
INE274J01014,GSTK533106,Oil India,Oil India,533106,OIL
INE298J01013,GSTK540767,Nippon Life India Asset Management,Nippon Life India AMC,540767,NAM-INDIA
INE417T01026,GSTK543390,PolicyBazaar - PB Fintech Ltd.,PolicyBazaar,543390,POLICYBZR
INE092T01019,GSTK539437,IDFC First Bank,IDFC First Bank,539437,IDFCFIRSTB
INE880J01026,GSTK543994,JSW Infrastructure,JSW Infrastructure,543994,JSWINFRA
INE377Y01014,GSTK544252,Bajaj Housing Finance,Bajaj Housing Financ,544252,BAJAJHFL
INE399L01023,GSTK542066,Adani Total Gas,Adani Total Gas,542066,ATGL
INE914M01019,GSTK540975,Aster DM Quality Care,Aster DM Quality,540975,ASTERDM
INE528G01035,GSTK532648,Yes Bank,Yes Bank,532648,YESBANK
INE061F01013,GSTK532843,Fortis Healthcare,Fortis Healthcare,532843,FORTIS
INE813H01021,GSTK532779,Torrent Power,Torrent Power,532779,TORNTPOWER
INE114A01011,GSTK500113,Steel Authority of India,SAIL,500113,SAIL
INE811K01011,GSTK533274,Prestige Estates Projects,Prestige Estates,533274,PRESTIGE
INE376G01013,GSTK532523,Biocon,Biocon,532523,BIOCON
INE540L01014,GSTK539523,Alkem Laboratories,Alkem Laboratories,539523,ALKEM
INE745G01043,GSTK534091,Multi Commodity Exchange of India,MCX,534091,MCX
INE405E01023,GSTK532539,UNO Minda,UNO Minda,532539,UNOMINDA
INE211B01039,GSTK503100,Phoenix Mills,Phoenix Mills,503100,PHOENIXLTD
INE093I01010,GSTK533273,Oberoi Realty,Oberoi Realty,533273,OBEROIRLTY
INE040H01021,GSTK532667,Suzlon Energy,Suzlon Energy,532667,SUZLON
INE565A01014,GSTK532388,Indian Overseas Bank,Indian Overseas Bank,532388,IOB
INE139A01034,GSTK532234,National Aluminium Co,NALCO,532234,NATIONALUM
INE513A01022,GSTK505790,Schaeffler India,Schaeffler India,505790,SCHAEFFLER
INE484J01027,GSTK533150,Godrej Properties,Godrej Properties,533150,GODREJPROP
INE303R01014,GSTK543278,Kalyan Jewellers India,Kalyan Jewellers,543278,KALYANKJIL
INE935A01035,GSTK532296,Glenmark Pharmaceuticals,Glenmark Pharma,532296,GLENMARK
INE018E01016,GSTK543066,SBI Cards And Payment Services,SBI Cards And Payment,543066,SBICARD
INE084A01016,GSTK532149,Bank Of India,Bank Of India,532149,BANKINDIA
INE481Y01014,GSTK540755,General Insurance Corporation of India,General Insurance,540755,GICRE
INE169A01031,GSTK506395,Coromandel International,Coromandel Intl,506395,COROMANDEL
INE457A01014,GSTK532525,Bank of Maharashtra,Bank of Maharashtra,532525,MAHABANK
INE463A01038,GSTK509480,Berger Paints India,Berger Paints India,509480,BERGEPAINT
INE220G01021,GSTK532508,Jindal Stainless,Jindal Stainless,532508,JSL
INE358A01014,GSTK500488,Abbott India,Abbott India,500488,ABBOTINDIA
INE944F01028,GSTK532497,Radico Khaitan,Radico Khaitan,532497,RADICO
INE976G01028,GSTK540065,RBL Bank,RBL Bank,540065,RBLBANK
INE372A01015,GSTK532259,Apar Industries,Apar Industries,532259,APARINDS
INE473A01011,GSTK523457,Linde India,Linde India,523457,LINDEINDIA
INE756I01012,GSTK544429,HDB Financial Services,HDB Financial Services,544429,HDBFS
INE018I01017,GSTK532819,MindTree,MindTree,532819,MINDTREE
INE259A01022,GSTK500830,Colgate-Palmolive (India),Colgate-Palmolive,500830,COLPAL
INE883A01011,GSTK500290,MRF,MRF,500290,MRF
